gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2834367228	StillImage	image/jpeg	https://observation.org/photos/22334405.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834359695	StillImage	image/jpeg	https://observation.org/photos/22768738.jpg										http://creativecommons.org/licenses/by-nd/4.0/	Johan Zielman
2834352394	StillImage	image/jpeg	https://observation.org/photos/2684473.jpg							Peter Krijnen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Krijnen
2834338483	StillImage	image/jpeg	https://observation.org/photos/2821843.jpg							kjell nilsen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Kjell Nilsen
2834337302	StillImage	image/jpeg	https://observation.org/photos/2487412.jpg							Wilma van Holten			http://creativecommons.org/licenses/by-nc/4.0/	Wilma van Holten
2834332725	StillImage	image/jpeg	https://observation.org/photos/22554859.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by-nc/4.0/	Pieter Baalbergen
2834327725	StillImage	image/jpeg	https://observation.org/photos/22731275.jpg										http://creativecommons.org/licenses/by-nd/4.0/	Johan Zielman
2834326768	StillImage	image/jpeg	https://observation.org/photos/22757181.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834317573	StillImage	image/jpeg	https://observation.org/photos/22437125.jpg							Bruno Jonge Poerink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruno Jonge Poerink
2834315194	StillImage	image/jpeg	https://observation.org/photos/22554665.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by-nc/4.0/	Pieter Baalbergen
2834298026	StillImage	image/jpeg	https://observation.org/photos/21193488.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834298026	StillImage	image/jpeg	https://observation.org/photos/21193490.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834297976	StillImage	image/jpeg	https://observation.org/photos/21175916.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834288034	StillImage	image/jpeg	https://observation.org/photos/21176185.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834282258	StillImage	image/jpeg	https://observation.org/photos/22554606.jpg							Pieter Baalbergen			http://creativecommons.org/licenses/by-nc/4.0/	Pieter Baalbergen
2834256111	StillImage	image/jpeg	https://observation.org/photos/22508305.jpg							Wouter Bol			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Bol
2834242033	StillImage	image/jpeg	https://observation.org/photos/20894497.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834239302	StillImage	image/jpeg	https://observation.org/photos/21195208.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834239302	StillImage	image/jpeg	https://observation.org/photos/21195207.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834224838	StillImage	image/jpeg	https://observation.org/photos/22334883.jpg							Woody Janssen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Woody Janssen
2834223993	StillImage	image/jpeg	https://observation.org/photos/21167779.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834223993	StillImage	image/jpeg	https://observation.org/photos/21167778.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834221675	StillImage	image/jpeg	https://observation.org/photos/22755752.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834221675	StillImage	image/jpeg	https://observation.org/photos/22755751.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834216131	StillImage	image/jpeg	https://observation.org/photos/21176212.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834211468	StillImage	image/jpeg	https://observation.org/photos/20896608.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834206732	StillImage	image/jpeg	https://observation.org/photos/20680866.jpg							Thierry Massart			http://creativecommons.org/licenses/by-nc-sa/4.0/	Thierry Massart
2834201330	StillImage	image/jpeg	https://observation.org/photos/22556649.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2834201330	StillImage	image/jpeg	https://observation.org/photos/22556657.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2834201330	StillImage	image/jpeg	https://observation.org/photos/22556647.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2834201330	StillImage	image/jpeg	https://observation.org/photos/22556640.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
